시점,행정동,성별,나이,인구수
2023-07-15,광명3동,남자,97,0
2023-07-15,광명3동,남자,98,0
2023-07-15,광명3동,남자,99,0
2023-07-15,광명3동,남자,100,0
2023-07-15,광명3동,여자,0,15
2023-07-15,광명3동,여자,1,9
2023-07-15,광명3동,여자,2,12
2023-07-15,광명3동,여자,3,6
2023-07-15,광명3동,여자,4,11
2023-07-15,광명3동,여자,5,12
2023-07-15,광명3동,여자,6,17
2023-07-15,광명3동,여자,7,12
2023-07-15,광명3동,여자,8,18
2023-07-15,광명3동,여자,9,26
2023-07-15,광명3동,여자,10,24
2023-07-15,광명3동,여자,11,29
2023-07-15,광명3동,여자,12,26
2023-07-15,광명3동,여자,13,33
2023-07-15,광명3동,여자,14,32
2023-07-15,광명3동,여자,15,28
2023-07-15,광명3동,여자,16,23
2023-07-15,광명3동,여자,17,26
2023-07-15,광명3동,여자,18,28
2023-07-15,광명3동,여자,19,32
2023-07-15,광명3동,여자,20,37
2023-07-15,광명3동,여자,21,39
2023-07-15,광명3동,여자,22,32
2023-07-15,광명3동,여자,23,50
2023-07-15,광명3동,여자,24,55
2023-07-15,광명3동,여자,25,69
2023-07-15,광명3동,여자,26,60
2023-07-15,광명3동,여자,27,65
2023-07-15,광명3동,여자,28,59
2023-07-15,광명3동,여자,29,57
2023-07-15,광명3동,여자,30,47
2023-07-15,광명3동,여자,31,55
2023-07-15,광명3동,여자,32,53
2023-07-15,광명3동,여자,33,44
2023-07-15,광명3동,여자,34,49
2023-07-15,광명3동,여자,35,48
2023-07-15,광명3동,여자,36,47
2023-07-15,광명3동,여자,37,37
2023-07-15,광명3동,여자,38,34
2023-07-15,광명3동,여자,39,45
2023-07-15,광명3동,여자,40,51
2023-07-15,광명3동,여자,41,61
2023-07-15,광명3동,여자,42,69
2023-07-15,광명3동,여자,43,66
2023-07-15,광명3동,여자,44,42
2023-07-15,광명3동,여자,45,55
2023-07-15,광명3동,여자,46,58
2023-07-15,광명3동,여자,47,60
2023-07-15,광명3동,여자,48,73
2023-07-15,광명3동,여자,49,67
2023-07-15,광명3동,여자,50,88
2023-07-15,광명3동,여자,51,89
2023-07-15,광명3동,여자,52,87
2023-07-15,광명3동,여자,53,90
2023-07-15,광명3동,여자,54,100
2023-07-15,광명3동,여자,55,97
2023-07-15,광명3동,여자,56,88
2023-07-15,광명3동,여자,57,111
2023-07-15,광명3동,여자,58,97
2023-07-15,광명3동,여자,59,82
2023-07-15,광명3동,여자,60,113
2023-07-15,광명3동,여자,61,118
2023-07-15,광명3동,여자,62,131
2023-07-15,광명3동,여자,63,128
2023-07-15,광명3동,여자,64,119
2023-07-15,광명3동,여자,65,135
2023-07-15,광명3동,여자,66,100
2023-07-15,광명3동,여자,67,86
2023-07-15,광명3동,여자,68,109
2023-07-15,광명3동,여자,69,82
2023-07-15,광명3동,여자,70,106
2023-07-15,광명3동,여자,71,87
2023-07-15,광명3동,여자,72,48
2023-07-15,광명3동,여자,73,68
2023-07-15,광명3동,여자,74,67
2023-07-15,광명3동,여자,75,74
2023-07-15,광명3동,여자,76,55
2023-07-15,광명3동,여자,77,42
2023-07-15,광명3동,여자,78,46
2023-07-15,광명3동,여자,79,48
2023-07-15,광명3동,여자,80,52
2023-07-15,광명3동,여자,81,53
2023-07-15,광명3동,여자,82,37
2023-07-15,광명3동,여자,83,43
2023-07-15,광명3동,여자,84,31
2023-07-15,광명3동,여자,85,23
2023-07-15,광명3동,여자,86,18
2023-07-15,광명3동,여자,87,26
2023-07-15,광명3동,여자,88,16
2023-07-15,광명3동,여자,89,16
2023-07-15,광명3동,여자,90,10
2023-07-15,광명3동,여자,91,8
2023-07-15,광명3동,여자,92,8
2023-07-15,광명3동,여자,93,5
2023-07-15,광명3동,여자,94,7
2023-07-15,광명3동,여자,95,1
2023-07-15,광명3동,여자,96,3
2023-07-15,광명3동,여자,97,1
2023-07-15,광명3동,여자,98,2
2023-07-15,광명3동,여자,99,0
2023-07-15,광명3동,여자,100,1
2023-07-15,광명4동,남자,0,19
2023-07-15,광명4동,남자,1,11
2023-07-15,광명4동,남자,2,21
2023-07-15,광명4동,남자,3,16
2023-07-15,광명4동,남자,4,15
2023-07-15,광명4동,남자,5,15
2023-07-15,광명4동,남자,6,18
2023-07-15,광명4동,남자,7,26
2023-07-15,광명4동,남자,8,15
2023-07-15,광명4동,남자,9,21
2023-07-15,광명4동,남자,10,20
2023-07-15,광명4동,남자,11,21
2023-07-15,광명4동,남자,12,21
2023-07-15,광명4동,남자,13,30
2023-07-15,광명4동,남자,14,24
2023-07-15,광명4동,남자,15,30
2023-07-15,광명4동,남자,16,24
2023-07-15,광명4동,남자,17,25
2023-07-15,광명4동,남자,18,16
2023-07-15,광명4동,남자,19,35
2023-07-15,광명4동,남자,20,28
2023-07-15,광명4동,남자,21,33
2023-07-15,광명4동,남자,22,36
2023-07-15,광명4동,남자,23,45
2023-07-15,광명4동,남자,24,40
2023-07-15,광명4동,남자,25,60
2023-07-15,광명4동,남자,26,50
2023-07-15,광명4동,남자,27,49
2023-07-15,광명4동,남자,28,57
2023-07-15,광명4동,남자,29,74
2023-07-15,광명4동,남자,30,50
2023-07-15,광명4동,남자,31,56
2023-07-15,광명4동,남자,32,54
2023-07-15,광명4동,남자,33,47
2023-07-15,광명4동,남자,34,56
2023-07-15,광명4동,남자,35,47
2023-07-15,광명4동,남자,36,51
2023-07-15,광명4동,남자,37,62
2023-07-15,광명4동,남자,38,52
2023-07-15,광명4동,남자,39,61
2023-07-15,광명4동,남자,40,63
2023-07-15,광명4동,남자,41,67
2023-07-15,광명4동,남자,42,58
2023-07-15,광명4동,남자,43,67
2023-07-15,광명4동,남자,44,52
2023-07-15,광명4동,남자,45,50
2023-07-15,광명4동,남자,46,38
2023-07-15,광명4동,남자,47,50
2023-07-15,광명4동,남자,48,53
2023-07-15,광명4동,남자,49,53
2023-07-15,광명4동,남자,50,72
2023-07-15,광명4동,남자,51,70
2023-07-15,광명4동,남자,52,64
2023-07-15,광명4동,남자,53,62
2023-07-15,광명4동,남자,54,72
2023-07-15,광명4동,남자,55,56
2023-07-15,광명4동,남자,56,85
2023-07-15,광명4동,남자,57,63
2023-07-15,광명4동,남자,58,67
2023-07-15,광명4동,남자,59,71
2023-07-15,광명4동,남자,60,67
2023-07-15,광명4동,남자,61,83
2023-07-15,광명4동,남자,62,77
2023-07-15,광명4동,남자,63,91
2023-07-15,광명4동,남자,64,84
2023-07-15,광명4동,남자,65,87
2023-07-15,광명4동,남자,66,75
2023-07-15,광명4동,남자,67,64
2023-07-15,광명4동,남자,68,74
2023-07-15,광명4동,남자,69,56
2023-07-15,광명4동,남자,70,57
2023-07-15,광명4동,남자,71,45
2023-07-15,광명4동,남자,72,47
2023-07-15,광명4동,남자,73,43
2023-07-15,광명4동,남자,74,41
2023-07-15,광명4동,남자,75,60
2023-07-15,광명4동,남자,76,46
2023-07-15,광명4동,남자,77,35
2023-07-15,광명4동,남자,78,37
2023-07-15,광명4동,남자,79,21
2023-07-15,광명4동,남자,80,31
2023-07-15,광명4동,남자,81,23
2023-07-15,광명4동,남자,82,22
2023-07-15,광명4동,남자,83,15
2023-07-15,광명4동,남자,84,8
2023-07-15,광명4동,남자,85,11
2023-07-15,광명4동,남자,86,10
2023-07-15,광명4동,남자,87,9
2023-07-15,광명4동,남자,88,2
2023-07-15,광명4동,남자,89,0
2023-07-15,광명4동,남자,90,7
2023-07-15,광명4동,남자,91,2
2023-07-15,광명4동,남자,92,1
2023-07-15,광명4동,남자,93,1
2023-07-15,광명4동,남자,94,1
2023-07-15,광명4동,남자,95,2
2023-07-15,광명4동,남자,96,0
2023-07-15,광명4동,남자,97,1
2023-07-15,광명4동,남자,98,0
2023-07-15,광명4동,남자,99,1
2023-07-15,광명4동,남자,100,0
2023-07-15,광명4동,여자,0,16
2023-07-15,광명4동,여자,1,18
2023-07-15,광명4동,여자,2,23
2023-07-15,광명4동,여자,3,11
2023-07-15,광명4동,여자,4,13
2023-07-15,광명4동,여자,5,20
2023-07-15,광명4동,여자,6,17
2023-07-15,광명4동,여자,7,18
2023-07-15,광명4동,여자,8,22
2023-07-15,광명4동,여자,9,26
2023-07-15,광명4동,여자,10,26
2023-07-15,광명4동,여자,11,24
2023-07-15,광명4동,여자,12,21
2023-07-15,광명4동,여자,13,20
2023-07-15,광명4동,여자,14,29
2023-07-15,광명4동,여자,15,24
2023-07-15,광명4동,여자,16,28
2023-07-15,광명4동,여자,17,22
2023-07-15,광명4동,여자,18,35
2023-07-15,광명4동,여자,19,30
2023-07-15,광명4동,여자,20,24
2023-07-15,광명4동,여자,21,40
2023-07-15,광명4동,여자,22,40
2023-07-15,광명4동,여자,23,54
